term_code,CLASS_NBR,instructor_id_number
1,05241,486
1,05242,3234
1,05243,486
1,05244,2199
1,05245,2199
1,05246,2199
1,05247,2199
1,05248,486
1,05249,3234
1,05250,486
1,05341,486
1,05342,3234
1,05343,486
1,05344,2199
1,05345,2199
1,05346,2199
1,05347,2199
1,05348,2199
1,05349,2199
1,05350,2199
1,05351,2199
1,05389,486
1,05390,2199
1,05391,2199
1,05392,3234
1,05393,2199
1,05394,2199
1,05395,486
1,05396,2199
1,05397,2199
1,05406,2199
1,05407,2199
1,06117,2777
1,06118,3201
1,06119,552
1,06120,122
1,06121,178
1,06122,124
1,06123,2771
1,06124,590
1,06125,2774
1,06126,2957
1,06127,120
1,06129,3201
1,06130,124
1,06131,2771
1,06132,122
1,06133,1216
1,06134,1453
1,06135,1653
1,06138,2773
1,06139,1134
1,06140,1862
1,06141,588
1,06142,3208
1,06143,589
1,06144,2519
1,06145,121
1,06146,1029
1,06147,1412
1,06148,3206
1,06150,592
1,06151,1886
1,06152,2316
1,06153,122
1,06154,1193
1,06155,3209
1,06156,597
1,06157,1861
1,06158,163
1,06159,1883
1,06160,596
1,06161,1032
1,06162,1456
1,06163,1654
1,06165,123
1,06167,3203
1,06168,3202
1,06169,332
1,06170,591
1,06171,1653
1,06172,178
1,06173,2774
1,06174,2315
1,06175,118
1,06176,163
1,06177,2317
1,06178,1030
1,06179,2776
1,06180,2775
1,06181,2950
1,06182,2316
1,06183,2315
1,06184,3204
1,06185,332
1,06186,3203
1,06187,333
1,06188,181
1,06189,1032
1,06190,1030
1,06191,3204
1,08402,498
1,08403,2302
1,08404,1793
1,08405,752
1,08406,1359
1,08407,496
1,08408,2218
1,08409,2023
1,08412,2498
1,08414,751
1,08828,938
1,08830,1355
1,08831,2022
1,08832,2674
1,08833,3118
1,08834,31
1,09322,123
1,09781,1354
1,09782,1794
1,09783,939
1,09784,1795
1,09785,940
1,09786,944
1,09787,1798
1,11991,498
1,12081,2426
1,12082,2426
1,13080,3202
1,13555,594
1,13556,2473
1,13836,1860
1,14184,118
1,14446,548
1,14467,2680
1,14468,2680
1,14553,548
1,14561,548
1,14562,548
1,14586,2680
1,14717,548
1,15254,548
1,15256,548
1,15257,548
1,15258,548
1,15259,548
1,15274,2680
1,15276,2680
2,05067,2696
2,05068,2696
2,05069,2199
2,05070,2199
2,05071,2696
2,05072,2696
2,05073,2696
2,05074,2696
2,05184,2199
2,05185,2199
2,05221,2199
2,05222,2199
2,05240,2199
2,05241,2199
2,06431,1860
2,06432,1861
2,06433,1862
2,06434,1860
2,06435,1862
2,06436,552
2,06437,1412
2,06438,932
2,06440,118
2,06441,1452
2,06443,2771
2,06444,3201
2,06446,1453
2,06447,2771
2,06448,3202
2,06449,588
2,06450,119
2,06451,2772
2,06452,120
2,06454,2209
2,06455,119
2,06456,2773
2,06457,2774
2,06458,120
2,06460,3203
2,06461,3204
2,06462,1883
2,06463,3205
2,06464,118
2,06465,1884
2,06468,1885
2,06471,1886
2,06472,3206
2,06473,589
2,06474,121
2,06475,2315
2,06476,590
2,06477,2775
2,06478,1454
2,06479,3172
2,06480,591
2,06481,122
2,06482,3207
2,06483,1028
2,06484,121
2,06485,3208
2,06486,591
2,06487,592
2,06488,593
2,06489,1028
2,06490,1029
2,06491,1030
2,06492,3209
2,06493,3205
2,06495,2776
2,06497,3209
2,06500,123
2,06501,594
2,06505,2316
2,08285,498
2,08286,2022
2,08287,2023
2,08288,751
2,08293,752
2,08294,1354
2,08295,2674
2,08296,938
2,08298,1355
2,08299,1793
2,08300,3118
2,08301,496
2,08302,1794
2,08303,939
2,09445,2473
2,09447,3249
2,11751,498
2,11754,2426
2,11755,1134
2,13804,548
2,13805,548
2,13821,548
2,13842,2680
2,13843,2680
2,13940,2302
2,14135,163
2,14475,548
2,14476,548
2,14538,2680
2,14541,2680
2,14613,548
2,14615,548
2,14617,548
2,14619,548
2,14697,2680
2,14698,2680
3,05060,486
3,05061,3234
3,05062,486
3,05063,2199
3,05064,2199
3,05065,2199
3,05066,2199
3,05067,486
3,05068,3234
3,05069,486
3,05160,486
3,05161,3234
3,05162,486
3,05163,2199
3,05164,2199
3,05165,2199
3,05166,2199
3,05167,2199
3,05168,2199
3,05169,2199
3,05170,2199
3,06068,395
3,06069,1861
3,06070,2774
3,06071,1266
3,06072,3206
3,06074,3439
3,06075,1860
3,06076,121
3,06077,1412
3,06078,589
3,06079,552
3,06080,3034
3,06081,3035
3,06082,1720
3,06084,2130
3,06085,2473
3,06086,1886
3,06087,2776
3,06088,1216
3,06089,118
3,06090,2771
3,06091,119
3,06092,1216
3,06093,180
3,06094,3202
3,06095,179
3,06096,119
3,06097,180
3,06098,179
3,06100,3202
3,06101,118
3,06102,121
3,06103,1862
3,06104,1134
3,06105,592
3,06106,1684
3,06107,1685
3,06109,1686
3,06110,2107
3,06111,593
3,06112,2108
3,06113,1862
3,06114,592
