term_code,Semester,subject,catalog_nbr,CLASS_NBR,class_description,department_code
1,Fall,BIOS,101,05350,Human Anatomy,021
1,Fall,SPAN,101,06171,Beginner Spanish,016
1,Fall,PHYS,101,11991,General Physics,022
1,Fall,PHYS,101,08405,General Physics,022
1,Fall,SPAN,101,06155,Beginner Spanish,016
1,Fall,SPAN,101,06188,Beginner Spanish,016
1,Fall,SPAN,101,06182,Beginner Spanish,016
1,Fall,SPAN,101,06165,Beginner Spanish,016
1,Fall,PHYS,101,08404,General Physics,022
1,Fall,SPAN,101,06117,Beginner Spanish,016
1,Fall,BIOS,101,05391,Human Anatomy,021
1,Fall,PHYS,101,09781,General Physics,022
1,Fall,BIOS,101,05341,Human Anatomy,021
1,Fall,BIOS,101,05406,Human Anatomy,021
1,Fall,SPAN,101,06178,Beginner Spanish,016
1,Fall,BIOS,101,05389,Human Anatomy,021
1,Fall,SPAN,101,06158,Beginner Spanish,016
1,Fall,SPAN,101,06139,Beginner Spanish,016
1,Fall,SPAN,101,06173,Beginner Spanish,016
1,Fall,BIOS,101,05247,Human Anatomy,021
1,Fall,SPAN,101,06174,Beginner Spanish,016
1,Fall,BIOS,101,05349,Human Anatomy,021
1,Fall,SPAN,101,06120,Beginner Spanish,016
1,Fall,SPAN,101,06163,Beginner Spanish,016
1,Fall,SPAN,101,06122,Beginner Spanish,016
1,Fall,SPAN,101,06187,Beginner Spanish,016
1,Fall,SPAN,101,13836,Beginner Spanish,016
1,Fall,SPAN,101,06183,Beginner Spanish,016
1,Fall,SPAN,101,06157,Beginner Spanish,016
1,Fall,SPAN,101,14717,Beginner Spanish,016
1,Fall,SPAN,101,14561,Beginner Spanish,016
1,Fall,BIOS,101,05241,Human Anatomy,021
1,Fall,PHYS,101,14586,General Physics,022
1,Fall,BIOS,101,05407,Human Anatomy,021
1,Fall,BIOS,101,05395,Human Anatomy,021
1,Fall,SPAN,101,06121,Beginner Spanish,016
1,Fall,BIOS,101,05345,Human Anatomy,021
1,Fall,SPAN,101,09322,Beginner Spanish,016
1,Fall,SPAN,101,14184,Beginner Spanish,016
1,Fall,SPAN,101,06180,Beginner Spanish,016
1,Fall,SPAN,101,06143,Beginner Spanish,016
1,Fall,SPAN,101,06145,Beginner Spanish,016
1,Fall,BIOS,101,05245,Human Anatomy,021
1,Fall,SPAN,101,12081,Beginner Spanish,016
1,Fall,SPAN,101,06138,Beginner Spanish,016
1,Fall,PHYS,101,09784,General Physics,022
1,Fall,PHYS,101,09782,General Physics,022
1,Fall,PHYS,101,08833,General Physics,022
1,Fall,SPAN,101,06134,Beginner Spanish,016
1,Fall,BIOS,101,05390,Human Anatomy,021
1,Fall,SPAN,101,06123,Beginner Spanish,016
1,Fall,SPAN,101,06131,Beginner Spanish,016
1,Fall,SPAN,101,06133,Beginner Spanish,016
1,Fall,SPAN,101,06156,Beginner Spanish,016
1,Fall,PHYS,101,08407,General Physics,022
1,Fall,SPAN,101,06179,Beginner Spanish,016
1,Fall,SPAN,101,06135,Beginner Spanish,016
1,Fall,SPAN,101,06144,Beginner Spanish,016
1,Fall,SPAN,101,06126,Beginner Spanish,016
1,Fall,BIOS,101,05396,Human Anatomy,021
1,Fall,BIOS,101,05346,Human Anatomy,021
1,Fall,SPAN,101,14553,Beginner Spanish,016
