student_id_number,term_code,CLASS_NBR,COMPLETED_FLAG,official_grade,ACAD_PLAN,HOURS_CARRIED
150,1,09785,1,C,BS0411,11.0
150,3,05167,0,DROP,BS0411,9.0
150,3,05062,1,D,BS0411,9.0
150,4,04981,0,DROP,BS0411,8.0
150,4,04979,1,C-,BS0411,8.0
83679,4,10902,0,WP,ND1105,14.0
306,2,09445,0,FS,BS7269,15.0
89384,6,14391,1,A,ND1202,9.0
198,3,15293,0,DROP,ND9920,9.0
90433,5,07545,1,B,BS8100,7.0
79775,1,05241,1,B+,ND8839,11.0
79775,1,05245,0,DROP,ND8839,11.0
66258,6,11958,1,A,BS1203,6.0
90434,2,11754,1,A-,BS1203,3.0
66247,5,07985,1,B-,BS2522,16.0
66247,6,04795,0,DROP,BS2522,13.0
66247,6,04645,1,S,BS2522,13.0
84043,6,14391,1,A,AA1114,6.0
83663,5,07525,1,A,BM5115,16.0
1505,1,05245,0,DROP,BA4252,12.0
1505,1,05241,1,B-,BA4252,12.0
4280,1,12081,1,A,BS1203,6.0
84059,6,11685,1,B,BA4107,13.0
7058,1,05250,1,D+,BS7253,16.0
7058,1,05343,0,DROP,BS7253,16.0
8328,1,09782,1,B,BA5214,15.0
8685,1,09784,0,WP,BS7260,16.0
8684,1,09784,0,WP,BS7260,16.0
8701,3,12137,1,B+,AA5006,6.0
8701,6,11685,1,B,AA5006,10.0
9422,2,06497,1,A,ND0210,4.0
8602,2,06490,1,A,ND0210,15.0
10052,2,05184,0,DROP,BS7253,25.0
10052,2,05068,1,D,BS7253,25.0
10997,1,12081,1,A,AA5201,5.0
11020,2,06432,1,A,BS2522,14.0
15218,2,05067,1,D-,BA2128,12.0
15218,2,05221,0,DROP,BA2128,12.0
15218,3,05062,1,C+,BA2128,14.0
15218,3,05170,0,DROP,BA2128,14.0
13091,4,04977,0,DROP,BS7260,15.0
13091,1,05242,0,WP,BS7260,12.0
13091,4,04974,1,A-,BS7260,15.0
13091,1,05347,0,DROP,BS7260,12.0
79985,2,08302,1,C,BS6308,13.0
11987,1,09786,0,WP,ND0210,16.0
12743,2,11755,0,FS,BS1203,9.0
12078,1,08406,1,A,ND9962,15.0
12078,1,06182,1,B+,ND9962,15.0
16737,1,08408,1,D-,ND1206,16.0
18202,6,05531,1,A,BS7269,16.0
15686,1,06135,1,B,ND0410,10.0
17401,3,05167,0,DROP,BS7260,17.0
17401,3,05062,0,F,BS7260,17.0
18086,6,11685,1,B-,BA4107,7.0
18771,2,05070,0,DROP,BA4211,18.0
18771,2,05067,1,C-,BA4211,18.0
76238,1,14468,0,WP,ND6603,4.0
15960,1,05348,0,DROP,ND1105,13.0
15960,1,05243,1,B,ND1105,13.0
18265,4,05091,0,DROP,MP8145,18.0
18265,4,04975,0,WP,MP8145,18.0
76478,1,12081,1,A,BS1203,6.0
15553,1,09784,0,F,ND8835,13.0
16008,3,06074,1,B,BS7251,13.0
22369,1,05348,0,DROP,BS2127,21.0
22369,1,05243,1,C,BS2127,21.0
22369,2,05073,0,DROP,BS2127,12.0
22369,3,05162,0,DROP,BS2127,16.0
22369,3,05069,1,C+,BS2127,16.0
22369,2,05071,1,C-,BS2127,12.0
22564,2,05072,1,B+,BS2507,16.0
22564,2,05074,0,DROP,BS2507,16.0
22573,6,11958,1,A,ND1205,3.0
83694,4,12879,1,A,BS1203,14.0
19613,1,08402,1,B,ND1201,13.0
20097,1,09786,1,B-,BS6308,16.0
19184,3,06513,1,C,BB6124,17.0
19184,4,05900,1,B+,BB6156,15.0
21589,2,06448,1,A,ND5368,16.0
21808,1,05350,0,DROP,BS7252,17.0
21808,1,05243,1,B,BS7252,17.0
19644,2,08294,1,C+,BS3321,16.0
19487,5,06615,1,D-,BA4101,14.0
19487,5,06618,0,DROP,BA4101,14.0
80539,3,05061,1,A-,BS7252,15.0
80539,3,05164,0,DROP,BS7252,15.0
25785,4,12878,1,B+,ND1205,12.0
26216,4,05913,0,WP,ND9920,3.0
22986,5,07886,1,C-,BA4253,13.0
22986,3,06613,0,WP,BA4253,13.0
23001,5,06719,0,DROP,BS7260,18.0
23001,5,06616,1,C,BS7260,18.0
23431,2,06440,0,WN,BS7252,14.5
23431,2,05067,0,F,BS7252,14.5
23431,2,05240,0,DROP,BS7252,14.5
23657,2,05068,1,C,BS7252,13.0
23657,2,05241,0,DROP,BS7252,13.0
23708,3,05166,0,DROP,BS2522,13.0
23708,3,05061,0,WP,BS2522,13.0
79664,3,06505,0,WP,BA4101,7.0
25344,1,09781,1,D+,BS6470,19.0
25842,3,06506,0,WP,BS3321,6.0
26281,1,05407,0,DROP,BS8117,15.0
26281,1,05242,1,A,BS8117,15.0
22827,2,05074,0,DROP,BS2126,13.0
22827,2,05072,1,D+,BS2126,13.0
23011,1,05407,0,DROP,BS3321,13.0
23011,1,05242,1,D-,BS3321,13.0
23779,1,05350,0,DROP,BS8122,18.0
23779,1,05243,1,A,BS8122,18.0
24955,2,06447,1,C+,ND1112,13.0
24964,1,09786,0,WP,ND1206,16.0
66721,5,07545,1,A,BS6308,16.0
26383,1,06129,1,A,BF5051,20.0
23754,1,05348,0,DROP,BC5363,17.0
23754,1,05243,0,WP,BC5363,17.0
24436,1,08405,1,C+,ND6603,13.0
25663,2,06488,1,A,BA4409,12.0
25845,1,08402,0,WP,BA4253,20.0
26352,1,05249,0,WP,BS2127,18.0
26352,1,05342,0,DROP,BS2127,18.0
22859,3,06510,1,B-,BS5327,19.0
22889,1,08834,1,A-,BA5050,17.0
23117,1,05242,1,B-,BS2121,15.0
23117,1,05346,0,DROP,BS2121,15.0
30538,3,05167,0,DROP,BA4101,13.0
30538,3,05062,1,B+,BA4101,13.0
30538,2,06454,1,A,BA4101,13.0
30553,1,05347,0,DROP,BA4105,16.0
30553,1,05242,0,F,BA4105,16.0
28053,1,09784,1,A,BS6472,16.0
28323,3,06082,1,B-,BS3300,14.0
28556,1,05243,1,B-,BS8122,17.0
28556,1,05350,0,DROP,BS8122,17.0
28999,1,09783,0,WP,ND1206,10.0
29034,3,06509,0,FS,BA4101,14.0
29034,4,06276,1,D-,BA4101,14.0
29492,2,08303,1,C,ND8837,16.0
29493,2,08303,1,C,ND8837,16.0
29709,3,06118,1,A-,ND1201,12.0
29709,1,06140,0,F,ND1201,7.0
29929,5,07525,1,A,BB6132,19.0
29977,3,05062,1,B,BS7257,16.0
29977,3,05168,0,DROP,BS7257,16.0
26738,1,08831,1,B-,BS8167,17.0
26752,1,09784,1,C-,BA3321,13.0
26755,1,05248,1,C,BS2127,16.0
26755,1,05341,0,DROP,BS2127,16.0
27657,4,04976,0,DROP,BA2128,17.0
27657,4,04974,1,D-,BA2128,17.0
27664,1,08834,1,A,ND1206,15.0
89858,2,11754,1,B+,ND1205,12.0
28138,1,05342,0,DROP,BS2522,16.0
28138,1,05249,1,D,BS2522,16.0
80593,3,05164,0,DROP,ND1112,14.0
80593,2,05185,0,DROP,ND1201,13.0
80593,1,05243,0,WP,ND1201,11.0
80593,3,05061,1,C-,ND1112,14.0
80593,2,05068,1,D-,ND1201,13.0
80593,1,05349,0,DROP,ND1201,11.0
28607,4,04974,1,C-,BS7251,14.5
28607,4,04976,0,DROP,BS7251,14.5
29516,1,06157,0,WF,BB6132,16.0
29540,2,14135,1,A,BA2129,10.0
29777,2,06476,0,WP,BC5363,22.0
26587,2,05073,0,DROP,BS2522,19.0
26587,2,05071,0,WP,BS2522,19.0
28253,1,12081,1,B+,ND1205,3.0
28512,2,05073,0,DROP,BS2522,11.0
28512,2,05071,1,D,BS2522,11.0
28933,1,05349,0,DROP,BS2520,12.0
28933,1,05243,1,C,BS2520,12.0
29198,2,08298,1,A,BA5290,16.0
